证券简称,id,year,YBR,x2,x4,OCFDR,ROE,CLTLR,CATAR,DER,DR,YoO,RDR,TAT,IFR,GIC
博睿数据,688229,2019,0,5.9942,5.9942,1.4227,38.2972,100,97.5272,0.194317978,16.2702,11,0.226413016,0.9305,0.472392143,1.177493019
博睿数据,688229,2018,0,5.3523,5.3523,1.8506,53.3921,100,96.5438,0.220075716,18.0379,10,0.218318347,1.154,0.331606836,1.247954849
神工股份,688233,2021,0,8.266,7.8295,1.06,12.7533,84.5442,70.8506,0.112820484,10.1382,8,0.094922471,0.2217,0.107309363,1.018619916
神工股份,688233,2020,0,15.3421,10.4865,4.7138,22.142,52.5701,50.2047,0.066379332,6.2247,7,0.035018438,0.5059,0.069708335,0.667476845
神工股份,688233,2019,0,10.5034,7.7181,4.2921,43.2462,66.5578,51.5449,0.079601109,7.3732,6,0.08629015,1.0533,0.197258847,2.234883848
神工股份,688233,2018,0,7.333,6.2837,1.8828,36.5263,93.1111,66.0988,0.107183608,9.6807,5,0.117457938,0.9264,0.150774309,2.860318499
卓易信息,688258,2021,0.141255861,10.2899,10.1183,0.8916,6.6051,75.5777,80.5309,0.115513687,10.3552,13,0.183106423,0.2035,0.205634267,0.932260253
卓易信息,688258,2020,0.029811709,10.8446,10.6765,0.6097,7.1434,88.1303,89.0879,0.102795555,9.3214,12,0.176827007,0.3269,0.188711194,1.21138798
卓易信息,688258,2019,0.031790112,4.5927,4.3096,0.4045,19.2104,86.7308,71.3518,0.218216567,17.9128,11,0.133860325,0.5336,0.161328823,1.153175585
卓易信息,688258,2018,0.083683515,4.284,4.0831,0.6632,14.6237,79.9974,65.4381,0.236005412,19.0942,10,0.129374223,0.5208,0.292591502,1.271583606
昀冢科技,688260,2021,0.204458769,0.8728,0.6989,0.285,25.3084,95.3124,50.9402,1.495096124,61.2311,8,0.070309884,0.9681,0.074666994,1.063517395
昀冢科技,688260,2020,0.357205291,0.9048,0.7749,0.1486,40.7233,95.9537,56.5404,1.795449832,65.1249,7,0.089517832,1.1672,0.036893943,1.341963883
昀冢科技,688260,2019,0.222926502,0.7061,0.6019,0.3366,85.742,91.8411,50.5176,3.451002851,77.8948,6,0.1695826,1.5152,0.115158852,2.254514491
昀冢科技,688260,2018,0.12784869,0.7101,0.5861,0.1707,74.4213,94.7752,57.6339,6.327140969,85.6349,5,,1.1443,0.047976839,
敏芯股份,688286,2021,0,18.9937,16.6747,0.3239,6.1807,89.8391,86.2766,0.053495135,5.0561,14,0.148024047,0.4512,0.120408073,1.162108574
敏芯股份,688286,2020,0,5.4987,4.0694,0.8204,28.2385,97.9133,82.2729,0.181920992,15.281,13,0.141149661,1.1199,0.090776884,1.123924866
敏芯股份,688286,2019,0,4.8729,3.0736,1.5343,53.1745,96.9432,86.8177,0.226499067,18.3784,12,0.242221584,1.9669,0.158035752,2.234455041
敏芯股份,688286,2018,0.017881815,2.9666,1.6801,0.7971,23.6442,97.4106,81.3221,0.39124795,28.1411,11,0.221123517,1.5275,0.111645068,1.567831293
和达科技,688296,2021,0.01214659,2.9715,2.5788,0.2778,24.5636,86.6442,89.3493,0.544053949,34.704,21,0.165341153,0.7661,0.126183571,1.543324791
和达科技,688296,2020,0.029394776,2.9307,2.4393,-0.0107,14.6645,96.8428,91.6503,0.485280349,32.2921,20,0.173609087,0.7137,0.094855082,1.445759527
和达科技,688296,2019,0,2.4595,2.0599,0.1657,8.5335,98.2284,87.1237,0.578404569,36.0622,19,0.162757634,0.714,0.057710809,1.323863942
和达科技,688296,2018,0,3.3499,2.9526,0.3401,18.7447,97.8896,94.9641,0.419076908,28.9597,18,0.119676258,0.7211,0.048121435,1.055412154
青云科技-U,688316,2020,0.242850262,2.1074,2.1014,-0.6628,0,95.4212,59.6998,0.421049862,29.6874,8,0.246813514,0.4519,-0.529568185,1.337380708
青云科技-U,688316,2019,0.015832078,0.6067,0.6049,-0.0356,0,99.9112,86.7418,-3.320155047,143.1006,7,0.268641045,0.2212,-1.972331382,1.177741748
青云科技-U,688316,2018,0,0.5908,0.5903,0.0053,0,100,88.506,-3.007503966,149.8131,6,,0.181,-0.589610399,
财富趋势,688318,2021,0,17.334,17.3276,1.6464,12.4054,97.7904,79.9025,0.049469165,4.7137,14,0.163191667,0.1332,0.309456269,1.210289143
财富趋势,688318,2020,0,9.3681,9.3681,1.5184,19.2924,98.7226,93.1777,0.112037974,10.075,13,0.154257779,0.225,0.268707866,1.156708114
财富趋势,688318,2019,0,9.3901,9.3901,1.4343,18.0058,97.8757,93.1068,0.112725534,10.1306,12,0.180163213,0.2193,0.641687574,1.153595304
财富趋势,688318,2018,0,7.9174,7.9174,1.3159,17.2028,95.8876,92.16,0.138167021,12.1394,11,0.148109052,0.2157,0.639873299,0.942876774
光云科技,688365,2021,0.380918997,6.0319,5.9856,0.5239,10.1044,94.3737,72.6532,0.146418694,12.763,8,0.229485112,0.4792,0.164434091,1.097548141
光云科技,688365,2020,0.091121088,7.4409,7.3759,0.968,14.4825,90.0242,86.7431,0.148758021,12.9495,7,0.191956483,0.6049,0.169200526,0.998176691
光云科技,688365,2019,0.036928571,7.2979,7.1565,1.0704,18.9073,81.7186,82.6619,0.160910323,13.8607,6,0.236433924,0.7222,0.153361007,1.298934973
光云科技,688365,2018,0,9.2065,9.1175,1.6991,25.6636,93.0531,85.6356,0.111062963,9.9961,5,0.19747509,0.8087,0.070035018,1.366505083
晶丰明源,688368,2021,0.080596384,3.9135,3.4713,-0.0141,5.7586,98.0121,82.7356,0.278853741,21.5698,13,0.180378801,0.7353,0.07664133,1.262414352
晶丰明源,688368,2020,0.006144051,5.9893,5.5052,0.2864,13.3322,93.1962,97.4773,0.211582276,17.4633,12,0.088312709,0.9904,0.110206384,1.139690741
晶丰明源,688368,2019,0,2.9064,2.2016,0.2654,35.3062,89.5725,92.6045,0.552115157,35.5718,11,0.087585077,2.0209,0.070500083,1.103996244
晶丰明源,688368,2018,0,2.3234,1.7209,-0.0416,49.5091,91.0508,91.4535,0.76151771,43.2308,10,0.092531227,2.1556,0.154019593,1.223588917
致远互联,688369,2021,0,3.4107,3.4024,0.2417,8.4969,99.9447,95.8587,0.395118269,28.121,19,0.170951499,0.433,0.110703468,1.090671717
致远互联,688369,2020,0,3.6115,3.6008,0.2126,12.7401,99.9773,97.4076,0.371696122,26.9773,18,0.154596297,0.5729,0.087831382,1.210595217
致远互联,688369,2019,0,1.5851,1.5727,0.2774,25.8432,100,93.3822,1.451523865,58.9141,17,0.164534995,0.827,0.05374945,1.238110353
致远互联,688369,2018,0,1.5503,1.5415,0.315,27.9414,100,92.5383,1.486074651,59.6895,16,0.181879968,0.9288,0.059502492,1.239840995
复旦微电,688385,2021,0.040155951,3.9037,2.6267,0.3877,7.1531,84.3933,69.6817,0.29351175,21.151,23,0.333062869,0.6582,0.297508848,1.148052418
复旦微电,688385,2019,0,4.8996,3.3467,0.0562,5.8957,89.2098,75.097,0.225123174,17.1811,21,0.28470062,0.5985,0.515985873,0.982026664
复旦微电,688385,2018,0,4.1665,3.2395,0.2282,13.1706,90.6651,74.6183,0.269582813,19.7528,20,,0.6557,0.455032147,
华润微,688396,2021,0.006415889,3.5978,3.1794,0.3872,12.0413,64.1111,66.0169,0.44711585,28.6208,17,0.098572045,0.5241,-0.013606732,1.214961076
华润微,688396,2020,0.002033931,2.5736,2.0406,0.1556,8.3741,53.4145,50.4443,0.683086127,36.695,16,0.076962428,0.5718,-0.074125888,0.915798191
